eng,ssw,source
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Umtsetfosivivinyo weSikimu seTinzuzo teteTingoti teMgwaco [B 17B – 2017 (Libandla laVelonkhe – sigaba-75) – (Likomidi leLibandla laVelonkhe leTetitfutsi – Libandla laVelonkhe).,June
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Umtsetfosivivinyo weTebugebengu beMave Emhlaba [B 37 - 2017] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leLibandla laVelonkhe  Letebulungiswa Nekucondziswa Kwesimilo – Libandla laVelonkhe).,June
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Umtsetfosivivinyo weKuchibela teTinkampani teTikhumulo teTindzizamshini [B 5B – 2018] (Libandla laVelonkhe – sigaba se-75) – (Libandla leMkhandlu waVelonkhe weTifundza leteTitfutsi, teMisebenti Yahulumende Nekuphatsa, Temisebenti Yesive Nesakhiwonchanti – Umkhandlu waVelonkhe weTifundza).",June
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Umtsetfosivivinyo weKuchibela teKuhamba kweTindzizamshini neTinsita teKutikhomba Indlela [B 6B – 2018] (Libandla laVelonkhe – sigaba se-75) – (Libandla leMkhandlu waVelonkhe weTifundza Letetitfutsi, Temisebenti Yahulumende Nekuphatsa, Temisebenti Yesive Nesakhiwonchanti – Umkhandlu waVelonkhe weTifundza).",June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Umtsetfosivivinyo weKuchibela teLusito lweTenhlalakahle [B 8B – 2018] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leMkhandlu waVelonkhe weTifundza leTemphilo Netemisebenti Yetenhlalakahle – Umkhandlu waVelonkhe weTifundza).,June
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Umtsetfosivivinyo weTekuvikela Tebugebengu beNtondvo neNkhulumo leneNtondvo [B 9 - 2018] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leLibandla laVelonkhe  leTebulungiswa neKucondziswa kweSimilo – Libandla laVelonkhe).,June
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Umtsetfosivivinyo weKuchibela Sibopho seMbuso seteMtsetfo [B 16 - 2018] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leLibandla laVelonkhe  leTebulungiswa Nekucondziswa Kwesimilo – Libandla laVelonkhe).,June
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Hulumende waseKhaya: Umtsetfosivivinyo weKuchibela Tinhlaka taBomasipala [B 19B – 2018] (Libandla laVelonkhe – sigaba se-76) – (Tebudlelwano Nekubambisana Kwemave Emhlaba, Temanti Nekuhlanta kanye Netekuhlaliswa Kwebantfu – Umkhandlu waVelonkhe weTifundza).",June
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Umtsetfosivivinyo weteLibhangesilulu laseNingizimu Afrika [B 26 – 2018 (Libandla laVelonkhe – sigaba-75) – (Likomidi leLimile letaVelonkhe leteTimali – Libandla laVelonkhe).,June
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","Umtsetfosivivinyo waVelonkhe weKuchibela teKugembula [B 27B – 2018] (Libandla laVelonkhe – sigaba se-76) – (Likomidi leteKuhwebelana Netimboni, Kutfutfukiswa kweTemnotfo, Kutfutfukiswa kwemabhizinisi Lamancane, tekuvakasha, Tisebenti neKucashwa – Umkhandlu waVelonkhe weTifundza).",June
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Umtsetfosivivinyo weMshwalensi weTemphilo waVelonkhe [B 29 – 2018 (Likomidi leLibandla laVelonkhe – sigaba-76) – (Likomidi laVelonkhe Letemphilo – Libandla laVelonkhe).,June
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Umtsetfosivivinyo weKuchibela teKulawulwa kweTimali taHulumende [B 41  2018]  (Libandla laVelonkhe – sigaba-76) – (Likomidi leLimile letaVelonkhe leteTimali – Libandla laVelonkhe).,June
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Umtsetfosivivinyo weKuchibela teTindizamshini [B 44 – 2018 (Libandla laVelonkhe – sigaba-75) – (Likomidi leLibandla laVelonkhe leTetitfutsi – Libandla laVelonkhe).,June
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Hulumende waseKhaya: Umtsetfosivivinyo weKuchibela Tinchubo taBomasipala [B 2 - 2019] (Libandla laVelonkhe – sigaba se-76) – (Likomidi leteKubusa Ngekubambisana Netendzabuko – Libandla laVelonkhe).,June
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Umtsetfosivivinyo Wemshwalensi Wetemphilo Wavelonkhe [B 11 – 2019 (Libandla laVelonkhe – sigaba-76) – (Likomidi Lelimile Letekwabiwa Kwetimali – Libandla laVelonkhe).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Umtsetfosivivinyo weteKwemukeleka kweMishado yeSintfu [B 12 - 2019] (Libandla laVelonkhe – sigaba se-75)–(Likomidi laVelonkhe leMkhandlu weTifundza leTekuvikeleka Netebulungiswa – Umkhandlu waVelonkhe weTifundza),June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice - National Council of Provinces).,Umtsetfosivivinyo weKuchibela teMajaji [B 13B – 2019] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leMkhandlu waVelonkhe weTifundza leTekuvikeleka neTebulungiswa – Umkhandlu waVelonkhe weTifundza).,June
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Umtsetfosivivinyo weteSisebenti Lesitimele Lesilawula Gezi [B 14 - 2019] (Libandla laVelonkhe – sigaba se-76) – (Likomidi leLibandla laVelonkhe  leTimbiwa Nemandla – Libandla laVelonkhe).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Umtsetfosivivinyo weKuchibela teKuphelelwa Sikhatsi kweMacala Langesiwo weBugebengu neTindzaba teteBugebengu (Emacala eteMacansi)  [B 22B – 2019] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leMkhandlu waVelonkhe weTifundza leTekuvikeleka neTebulungiswa – Umkhandlu waVelonkhe weTifundza).,June
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Umtsetfosivivinyo weteKulawulwa kweTemnotfo weteTitfutsi [B 1 – 2020 (Libandla laVelonkhe – sigaba-76) – (Likomidi leLibandla laVelonkhe leteTitfutsi – Libandla laVelonkhe).,June
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Umtsetfosivivinyo weKuchibela teBungcweti beteKucwaningwa kweMabhuku [B 2  2020]  (Libandla laVelonkhe – sigaba-75) – (Likomidi leLimile laVelonkhe leteTimali – Libandla laVelonkhe).,June
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Umtsetfosivivinyo weKusebentisa Timali taHulumende ngalokuneSibopho [B 5 - 2020]  (Libandla laVelonkhe – sigaba-76) – (Likomidi leLimile letaVelonkhe leteTimali – Libandla laVelonkhe).,June
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Umtsetfosivivinyo weKulungisa Lilungelo Lekuba neBuniyo beMhlaba [B 6 - 2020] (Libandla laVelonkhe – sigaba se-76 lesiphakanyisiwe) – (Likomidi leLibandla laVelonkhe leTekulima, Kuhlelwa Kabusha Kwemhlaba Nekutfutfukiswa Kwetindzawo Tasemaphandleni – Libandla laVelonkhe).",June
National Road Traffic Amendment Bill [B 7 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,Umtsetfosivivinyo weKuchibela teThrafikhi yeteMigwaco yaVelonkhe [B 7-2020] (Libandla laVelonkhe – sigaba-76 lesiphakanyisiwe) – (Likomidi leLibandla laVelonkhe leteTitfutsi – Libandla laVelonkhe).,June
Transport Appeal Tribunal Amendment Bill [B 8 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,Umtsetfosivivinyo weKuchibela teMkhandlu weTekutfutsa [B B8-2020] (Libandla laVelonkhe – sigaba-76 lesiphakanyisiwe) – (Likomidi leLibandla laVelonkhe leteTitfutsi – Libandla laVelonkhe).,June
Disaster Management Tax Relief Bill [B 11 - 2020] (National Assembly – proposed sec 77) – (Standing Committee on Finance - National Assembly).,Umtsetfosivivinyo weKuchibela Kuhhamuleka kuteMtselo weteKulawula Tinhlekelele [B 11  2020]  (Libandla laVelonkhe – sigaba-76) – (Likomidi leLimile letaVelonkhe leTetimali – Libandla laVelonkhe).,June
Disaster Management Tax Relief Administration Bill [B 12 - 2020] (National Assembly – proposed sec 75) – (Standing Committee on Finance - National Assembly).,Umtsetfosivivinyo weKuchibela teKuhhamuleka kuteMtselo weteKulawula neKuphatfwa kweTinhlekelele [B 12  2020]  (Libandla laVelonkhe – sigaba-76) – (Likomidi leLimile letaVelonkhe leTetimali – Libandla laVelonkhe).,June
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,IMITSETFOSIVIVINYO LEBUYISELWE KULIBANDLA LAVELONKHE KUTE KUCUTJUNGULWE IMIVA YAMENGAMELI,June
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,Umtsetfosivivinyo weKukhutsata Kufinyelelwa Kwelwatiso [B 20 - 2010] (Libandla laVelonkhe – sigaba se-75).,June
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela teMikhicito yeTjwala [B 10B – 2016] (Libandla laVelonkhe – sigaba se-75).,June
Performers’ Protection Amendment Bill [B24B - 2016] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela teKuvikeleka kweMaciko  [B 8B – 2016] (Libandla laVelonkhe – sigaba se-76).,June
Copyright Amendment Bill [B13B - 2017] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela teMlungelokucamba  [B 8B – 2017] (Libandla laVelonkhe – sigaba se-76).,June
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,IMITSETFOSIVIVINYO LEPHASISWE LIBANDLA LAVELONKHE YABESE INDLULISELWA KUMKHANDLU WETIFUNDZA WAVELONKHE KUTE KUTSI KUVUNYELWANE NGAYO,June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Umtsetfosivivinyo weTinkantolo teSintfu [B 1B – 2017] (Libandla laVelonkhe – sigaba se-76).,June
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,Umtsetfosivivinyo weTebugebengu Lobentiwa ku-Inthanethi [B 6B – 2017] (Libandla laVelonkhe – sigaba se-75) (wetfulwe njengeMtsetfosivivinyo weBugebengu lobentiwa ku-Inthnethi kanye neweKuvikela Bugebengu lobentiwa ku-Inthethi.,June
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela teTinkampani teTikhumulo teTindizamshini [B 5B – 2018] (Libandla laVelonkhe – sigaba se-75).,June
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela teKuhamba kweTindizamshini neTinsita teTinkampani teKukhomba Indlela [B 6B – 2018] (Libandla laVelonkhe – sigaba se-75).,June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,Umtsetfosivivinyo weKuchibela teLusito lweteNhlalakahle  [B 8B – 2018] (Libandla laVelonkhe – sigaba se-76).,June
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela Temishado yeBulili Lobufananako [B 11B – 2018] (Libandla laVelonkhe – sigaba se-75).,June
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Hulumende waseKhaya: Umtsetfosivivinyo weKuchibela teTinhlaka taBomasipala [B 19B – 2018] (Libandla laVelonkhe – sigaba se-76).,June
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,Umtsetfosivivinyo weKuchibela Tekugembula [B 27B – 2018] (Libandla laVelonkhe – sigaba se-76).,June
Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela Imitsetfo yeteSayensi neTheknoloji [B    42B – 2018] (Libandla laVelonkhe – sigaba se-75).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,Umtsetfosivivinyo weKuchibela Kwemukeleka Kwemishado yeSintfu [B 12 - 2019] (Libandla laVelonkhe – sigaba se-76).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela Tindzaba teMajaji [B 13B – 2019] (Libandla laVelonkhe – sigaba se-75).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela teKuphelelwa Sikhatsi kweMacala Langesiwo weBugebengu neTindzaba teteBugebengu (Emacala eteMacansi)[B 22 - 2019] (Libandla laVelonkhe – sigaba se-75).,June
INTERNATIONAL AGREEMENTS,TIVUMELWANE TEMAVE EMHLABA,June
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 – reported on 26 May 2020).","Sivumelwane lesisemkhatsini waHulumende waseRiphabhliki yaseNingizimu Afrika nesikhungo i-International Centre for Genetic Engineering and Biotechnology (I-CGEB) mayelana neKusungulwa kwesikhungo i-International Centre for Genetic Engineering and Biotechnology Component (i-ICGEB) eRiphabhliki yaseNingizimu Afrika (Setfulwe mhla ti-18 Inyoni 2019) (Sandluliselwa eKomidini leLibandla laVelonkhe leTemfundvo Lephakeme, Isayensi neTheknoloji mhla ti-19 Inyoni 2019 – kubikwe mhla ti-6 Ingongoni 2019– savunywa mhla ti-10 Indlovulenkhulu 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwa kuLikomidi leMkhandlu weTifundza waVelonkhe leteMfundvo Lephakeme Netetheknoloji, Temidlalo, Buciko Nemasiko mhla ti-19 Lweti 2019)- kubikwe mhla ti-19 Inkhwekhweti 2020).",June
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Kusayinwa kwesivumelwane lesisemkhatsini waHulumende weRiphabhliki yase-Indiya, Hulumende weRiphabliki yeNhlangano yeBhrazili kanye naHulumende weRiphabhliki yaseNingizimu Afrika lesimayelana neSikhwamamali se-IBSA seKwenta Buphuya neNdlela kube Ncono (sasayinwa mhla ti-17 Imphala 2017) (seTfulwa mhla ti-18 Imphala 2019) (Umkhandlu waVelonkhe weTifundza: Sandluliselwa kuLikomidi Letebudlelwano Nekubambisana Kwemave Emhlaba mhla tinge-22 Imphala  2019) (Umkhandlu waVelonkhe weTifundza: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla tinge-24 Imphala 2019).",June
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Sivumelwane lesisemkhatsini waHulumende waseRiphabhliki yaseNingizimu Afrika kanye neNhlangano yaseYurophu yeteMandla e-Athomi (i-EURATOM) seKubambisana eKusebentiseni ngeKuthula Emandla eNuzi (Setfulwe mhla ti-14 Lweti 2019) (Libandla laVelonkhe: Sendluliselwe kuLikomidi leLibandla laVelonkhe leteTimbiwa Nemandla mhla ti-18 Lweti 2019).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020 – approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Sivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende wase-United Mexican States lesimayelana neKusitana ngekweMtsetfo eTindzabeni teBugebengu (Setfulwe mhla ti-5 Indlovulenkhulu 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTebulungiswa Nekulungiswa Kwesimilo mhla ti-9 Indlovulenkhulu 2020 – Kubikwe mhla tinge-29 Inkhwekhweti 2020 - savunywa mhla ti-17 Inhlaba 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla ti-10 Indlovulenkhulu 2020 – kubikwe mhla lu-1 Inhlaba  2020).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 202 0– approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Sivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende wase-United Mexican States lesimayelana lekulandvwa kwemuntfu eveni lakubo abuyiswe eveni lente kulo bugebengu (Setfulwe mhla ti-5 Indlovulenkhulu 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTebulungiswa Nekulungiswa Kwesimilo mhla ti-9 Indlovulenkhulu 2020 – Kubikwe mhla tinge-29 Inkhwekhweti 2020 - savunywa mhla ti-17 Inhlaba 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla tin-10 Indlovulenkhulu 2020 – kubikwe mhla lu-1 Inhlaba  2020).,June
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,Umculu wase-Afrika weTelubalobalo (Wetfulwe mhla ti-5 Indlovulenkhulu 2020) (Libandla laVelonkhe: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTemisebenti Yahulumende Nekuphatsa mhla ti-9 Indlovulenkhulu 2020),June
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020).,Sivumelwane neBudlelwane loBucotfo neKubambisana (i-TAC) eNingizimu yeMphumalanga ye-Eshiya (Setfulwe mhla ti-18 Indlovulenkhulu 2020) (Umkhandlu waVelonkhe weTifundza: Sendluliselwe kuLikomidi Letebudlelwano Nekubambisana Kwemave Emhlaba mhla tinge-26 Indlovulenkhulu 2020 – sabikwa mhla ti-11 Inhlaba 2020 – savunywa mhla ti-17 Inhlaba 2020).,June
MOTIONS:,TISHUKUMISO:,June
Draft resolution (Chief Whip of the Majority Party): That the House –,Sincumo lesiluhlaka (Sosiswebhu weLicembu Lelibusako): Sekutsi Indlu –,June
notes that the term of office of the Auditor-General is due to end on 30 November 2020;,ibona kutsi sikhatsi sekuba sehhovisi seMhlolimabhuku Jikelele sesitawuphela mhla tinge-30 Lweti 2020;,June
"establishes in terms of Rule 253(1)(a) an ad hoc committee on the appointment of the Auditor-General, the Committee to –","isungule ngekulandzela Umtsetfo-253 (1)(a) likomidi lesikhashana lelimayelana nekukhetfwa kweMhlolimabhuku Jikelele, Likomidi kutsi –",June
nominates a person in terms of section 193 of the Constitution for appointment as Auditor-General;,lenyule umuntfu ngekulandzela sigaba se-193 seMtsetfosisekelo ngekukhetfwa kweMhlolimabhuku Jikelele;,June
"consist of 11 members of the National Assembly, as follows: ANC 6, DA 2, EFF 1, and other parties 2;","lakhiwa ngemalunga la-11 eLibandla laVelonkhe, ngalendlela lelandzelako: e-ANC 6, e-DA 2, e-EFF 1, bese kutsi lamanye emacembu 2;",June
exercise those powers in Rule 167 necessary to assist it in carrying out its task; and,lisebentisa lawo mandla kuMtsetfo we-167 lodzingekako kutsi lente umsebenti walo; futsi,June
report to the House on the nomination of the Auditor-General by 31 August 2020.,libike eNdlini mayelana nekwenyulwa kweMhlolimabhuku jikelele mhla tinge-31 Ingci 2020.,June
"Draft resolution (Chief Whip of the Majority Party): That the House, notwithstanding Rule 138(2), which provides for rotation of clusters for Questions to Ministers on a weekly basis as determined by the Rules Committee, mandates the National Assembly Programme Committee to make decisions regarding the combination of clusters of government portfolios and the rotation of clusters based on the determination of priorities as and when necessary for the duration of the 2020 annual session.","Sincumo lesiluhlaka (Sosiswebhu Lomkhulu weLicembu Lelibusako): Lesitsi Indlu, nanome kunjalo Umtsetfo-138(2), lovumela kutsi kube nekuntjintjantjintjana kwemaklasta eMibuto lecondziswe eTindvuneni njalo ngeliviki njengaloku kuncume Likomidi leMitsetfo, igunyate Likomidi leTinhlelo teLibandla laVelonkhe kutsi litsatse tincumo letiphatselene nekuhlanganiswa kwemaklasta etikhundla tahulumende kanye nekuntjintjantjintjana kwemaklasta ngekuya ngekuncunywa kwabomabekwembili nangabe futsi kudzingekile ngesikhatsi seseshini yemnyaka wa-2020.",June
ORDERS OF THE DAY:,TINHLELO TELUSUKU:,June
"Consideration of First Report of National Assembly Rules Committee, 2020 (Virtual Meetings) (Announcement, Tablings and Committee Reports, 2 June 2020, p 3).","Kucutjungulwa kweMbiko weKucala weLikomidi leLibandla laVelonkhe leMitsetfo, 2020 (Imihlangano lebanjwa ngekuchumana nge-inthanethi) (Simemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-02 Inhlaba 2020, likh. le-3).",June
"Consideration of Recommendation of candidates to fill six vacancies on Council of Independent Communications Authority of South Africa (Icasa) (Report of Portfolio Committee on Communications, see Announcement, Tablings and Committee Reports, 5 June 2020, p 3).","Kucutjungulwa Kwetincomo temakhandidethi latawugcwalisa tikhala temsebenti letisitfupha kuMkhandlu weMtimba Lotimele weteKuchumana waseNingizimu (i-Icasa) (Umbiko weLikomidi leLibandla laVelonkhe leTekuchumana, buka Timemetelo, Tetfulo neMibiko yeMakomidi, mhla ti-05 Inhlaba 2020, likh le-3).",June
"Consideration of Report of Portfolio Committee on Social Development on Social Assistance Amendment Bill [B 8 – 2018] (National Assembly – sec 76) (Announcements, Tablings and Committee Reports, 19 March 2020, p 10).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe weMtsetfosivivinyo weLusito lweteNhlalakahle [B 8 – 2018] (Libandla laVelonkhe – sigaba se-76) (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-19 Indlovulenkhulu 2020, likh. le-10).",June
Second Reading – Social Assistance Amendment Bill [B 8B – 2018] (National Assembly – sec 76) – (Minister of Social Development).,Inkhulumomphendvulwane leFundvwa kweSibili – Umtsetfosivivinyo weLusito lweteNhlalakahle [B 8B – 2018] (Libandla laVelonkhe – sigaba se-76) – (Indvuna yeTekutfutfukiswa Kwetenhlalakahle).,June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22 - 2019] (Announcements, Tablings and Committee Reports, 11 March 2020, p 11).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTebulungiswa Nekucondziswa Kwesimilo mayelana neMtsetfosivivinyo weKuchibela Kuphelelwa Sikhatsi kweMacala Langesiwo weBugebengu neTindzaba teteBugebengu (Emacala eteMacansi) [B 22 - 2019] (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-11 Indlovulenkhulu 2020, likh. le-11).",June
Second Reading – Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) - (Minister of Justice and Correctional Services).,Kufundvwa kweSibili – Umtsetfosivivinyo weKuchibela Timiso teMacala Langesiwo weBugebengu neTindzaba teteBugebengu (Emacala eteMacansi) [B 22 - 2019] (Libandla laVelonkhe – sigaba se-75) - (Indvuna yeTebulungiswa neKucondziswa kweSimilo).,June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Recognition of Customary Marriages Amendment Bill [B 12  2019] (Announcements, Tablings and Committee Reports, 11 March 2020, p 8).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTebulungiswa Nekucondziswa Kwesimilo mayelana neMtsetfosivivinyo weKuchibela Kwemukeleka kweMishado yeSintfu [B 12 - 2019] (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-11 Indlovulenkhulu 2020, likh. le-8).",June
Second Reading – Recognition of Customary Marriages Amendment Bill [B 12  2019] (National Assembly – sec 76) – (Minister of Justice and Correctional Services).,Kufundvwa kweSibili – Umtsetfosivivinyo weKuchibela Kwemukeleka Kwemishado yeSintfu [B 12 - 2019] (Libandla laVelonkhe – sigaba se-76) – (Indvuna yeTebulungiswa Nekulungiswa Kwetimilo).,June
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Budget Vote 6: International Relations and Cooperation (Announcement, Tablings and Committee Reports, 3 June 2020, p 102).","Kucutjungulwa kweMbiko weLikomidi weLibandla laVelonkhe Letebudlelwane beMave Emhlaba Nekuhlanganyela lomayelana neVoti yeSabelomali ye-6: Budlelwane Betemave Emhlaba Nekuhlanganyela (Simemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-03 Inhlaba 2020, likh. le-102).",June
