eng,tso,source
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Ntwanano exikarhi ka Mfumo wa Riphabliki ra Afrika-Dzonga na Mfumo wa Europian Atomic Energy Community (EURATOM) hi mayelana na ku Tirhisana eka ku Tirhisiwa ka Eneji ya Nyutliya hi ndlela yo Rhula (Lowu andlariweke hi ti 14 Hukuri 2019). (NA: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swipfuno swa Swicelwa na Eneji hi ti 18 Hukuri 2019).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Ntwanano exikarhi ka Mfumo wa Riphabliki ra Afrika-Dzonga na Mfumo wa United Mexican States mayelana na ku Pfunana hi swa Nawu eka Timhaka ta Vugevenga (Lowu andlariweke hi ti 5 Nyenyankulu 2020). (NA: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukohokeri bya Makhostso hi ti 9 Nyenyankulu 2020). (NCOP: Lowu yisiweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vuhlayiseki na Vululami hi ti 10 Nyenyankulu 2020 – lowu vikiweke hi ti 1 Khotavuxika 2020).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Ntwanano exikarhi ka Mfumo wa Riphabliki ra Afrika-Dzonga na Mfumo wa United Mexican States mayelana na ku Tlheriseriwa etikweni ra rikwavo ku ya langutana na nawu (Lowu andlariweke hi ti 5 Nyenyankulu 2020) (NA: Lowu hundziseriweke eka Komiti ya Vuangameri Ya Huvo y Rixaka ya swa Vululami na Vukorhokeri bya Makhotso hi ti 9 Nyenyankulu 2020) (NCOP: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vululami na Vukohokeri bya Makhotso hi ti 10 Nyenyankulu 2020 – lowu vikiweke hi ti 1 Khotavuxika 2020).,June
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,Chatara ya Afrika ya swa Tinhlayohlayo (Leyi andlariweke hi ti 5 Nyenyankulu 2020) (NA: Leyi hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vukorhokeri bya Mfumo na Vulawuri hi ti 9 Nyenyankulu 2020).,June
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020).,Ntwanano wa Vuxaka na Ntirhisano (TAC) eDzongaVuxa bya Asia (Wu andlariwe hi ti 18 Nyenyankulu 2020) (Huvo ya Rixaka: Wu kongomisiwe eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Vuxaka bya Matiko ya Misava na Ntirhisano hi ti 26 Nyenyankulu 2020).,June
QUESTIONS:,SWIVUTISO:,June
Cluster 5: Economics.,Ntlawa wa 5: Swa Ikhonomi.,June
FURTHER BUSINESS,NTIRHO KU YISA EMAHLWENI,June
ORDERS OF THE DAY:,MINONGONOKO YA SIKU:,June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Notices determining remuneration of Public Protector and Commissioners of South African Human Rights Commission with effect from 1 April 2019 (Announcement, Tablings and Committee Reports, 22 June 2020, p 15).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso hi mayelana na switiviso leswi bohaka ku hakeriwa ka Murirheleri wa vaakitiko na Vakhomixinara wa Khomixini ya swa Timfanelo ta Ximunhu ya Afrika-Dzonga kusukela hi ti 1 Dzivamisoko 2019 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 22 Khotavuxika 2020, papila ra 15).",June
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcement, Tablings and Committee Reports, 19 June 2020, p 3).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Nkarhi Hinkwawo ya Nhlanganelo hi mayelana na ku yimeleriwa ka Mapapila yo huma eka president ya Ku Thoriwa ka Masocha yo Sirhelela Afrika-Dzonga eka Chanele ya Mozambique, Rhiphabliki ra Xidemokirasi ra Congo, Dorobankulu ra Wuhan eka Xifundzankulu xa Hubei, eka Dorobankulu ra Wuhan Rhiphabliki ra Vanhu ra China na ku seketeriwa hi Vukorhokeri bya Maphorisa ya Afrika-Dzonga na Tindzawulo tin’wana ta Mfumo (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 19 Khotavuxika 2020, papila ra 3).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP) and Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP)  (Announcement, Tablings and Committee Reports, 18 June 2020, p 167).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya Mafumelo ya Nhlanganelo na Timhaka ta Ndhavuko hi mayelana na Phethixini yo huma eka vaaki va le Boksburg, masipala wa dorobankulu ra Ekurhuleni lava va kombelaka leswaku Huvo ya Rixaka yi lavisisa ku famba ka gezi ko hlaya (yi tisiwile hi Tatana M Waters, Xirho xa Palamende) (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila ra 167).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 166).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya Mafumelo ya Nhlanganelo na Timhaka ta Ndhavuko hi mayelana na Phethixini ya vaaki va le Alberton leyi kombelaka Huvo ya Rixaka ku lavisisa ku nghenelea ka vaaki na ku landzeleriwa ka nawu eka nhluvukiso wa tindlu lowu ringanyetiweke eAlberton (yi tisiwile hi Tatana D Bergman, Xirho xa Palamende) (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila ra 166).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition relating to Glen Marais Sub-Station Fire Incident under City of Ekurhuleni (Announcement, Tablings and Committee Reports, 18 June 2020, p 163).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya Mafumelo ya Nhlanganelo na Timhaka ta Ndhavuko hi mayelana Phethixini leyi fambelanaka na mhangu ya le xitichinintsongo xa swa Ndzilo xa Glen Marais ehansi ka dorobankulu ra Ekurhuleni (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila ra 163).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 160).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya Mafumelo ya Nhlanganelo na Timhaka ta Ndhavuko hi mayelana na Phethixini yo huma eka vaaki va le ka Wadi ya 37, N’walungu wa Alberton, Ekurhuleni leyi kombelaka Huvo ya Rixaka ku lavisisa ku tshama swi nga ri enawini eka xitandi ya 1/1224 xa nomboro ya 42, Second Avenue, N’walungu wa Alberton (yi tisiwile hi Tatana D Bergman, Xirho xa Palamende) (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila ra 160).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition pertaining to Service Delivery in Nemallpius Ext 22, under City of Tshwane (Announcement, Tablings and Committee Reports, 18 June 2020, p 157).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya Mafumelo ya Nhlanganelo na Timhaka ta Ndhavuko hi mayelana na Phethixini leyi khumbhaka mphakelo wa vukorhokeri eNmalipius Ext 22 ehansi ka dorobankulu ra Tshwane (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila ra 157).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcement, Tablings and Committee Reports, 18 June 2020, p 120).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Ntholo na Mitirho hi mayelana na Xiviko xa Kotara hi Kotara xa Vumbirhi xa matirhelo ya Ndzawulo ya swa Ntholo na Vatirhi na mihlangano eka ku fikelela swikongomelonkulu swa qhinga hi 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila ra 120).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcement, Tablings and Committee Reports, 18 June 2020, p 81).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Ntholo na vatirhi hi mayelana na Xiviko xa Kotara hi Kotara xo Sungula xa matirhelo ya Ndzawulo ya  eka ku fikelela swikongomelonkulu swa qhinga hi 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila ra 81).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcement, Tablings and Committee Reports, 18 June 2020, p 12).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Ntholo na vatirhi hi mayelana na Xiviko xa Kotara hi Kotara xa Vunharhu xa matirhelo ya Ndzawulo ya swa Ntholo na Vatirhi eka ku fikelela swikongomelonkulu swa qhinga hi 2018/19 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papia ra 12).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Oversight visit to Compensation Fund Head-Quarters (Announcement, Tablings and Committee Reports, 18 June 2020, p 3).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Ntholo na Vatirhi hi mayelana na rendzo ro angamela eka hofisinkulu ya Nkwama wa Ndziriso (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila ra 3).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcement, Tablings and Committee Reports, 19 May 2020, p 3).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Bindzu na Vumaki hi mayelana na Ndzawulo ya swa Bindzu na Vumaki na matirhelo ya swa timali na yo ka ya nga ri ya timali ya kotara ya vunharhu ya Ndzawulo ya swa Nhluvukiso wa Ikhonomi eka lembeximali ra 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 19 Mudyaxihi 2020, papila ra 3).",June
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuxaka bya Matiko Misava na Timhaka ta Ndhavuko hi mayelana na rendzo ro angamela phurojeke yo ringeta ya makumelo ya ndhawu ya hofisi ya Mixini wa Nkarhi Hinkwawo ya Afrika-Dzonga eka Nhlangano wa Matiko na Khonsuleti-Jenerali eNew York, United States of America (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 16 Nyenyankulu 2020, papila ra 11).",June
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Xiboho hi mayelana na Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Dyondzo ya le Henhla, Sayense na Thekinoloji eka Swiviko hi mayelana na xiviko xa matirhelo ya swa timali xa kotara yo sungula na mphakelo wa vukorhokeri xa Dyondzo ya le Henhla na Vuleteri (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 5 N’wendzamhala 2019, papila ra 64).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Ku tekeriwa enhlokweni ka Xiviko xa Komito ya Vuangameri ya Huvo ya Rixaka ya swa Vukorhokeri bya Mfumo na Vulawuri eka Matirhelo ya Kotara ya Vumbirhi na ya Vunharhu ya lembeximali ra 2019/20: Ndzawulo ya Vukorhokeri bya Mfumo na Vulawuri, Minhlangano na Khomixini ya Mintirho ya Mfumo (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyankulu 2020, papila ra 30).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).",". Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vukorhokeri bya Mfumo na Vulawuri eka Matirhelo ya Kotara ya Vumbirhi na ya Vunharhu ya lembeximali ra 2019/20: Tinhlayonhlayo ta Afrika-Dzonga (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyankulu 2020, papila ra 23)",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vukorhokeri bya Mfumo na Vulawuri eka Matirhelo ya kotara ya Vumbirhi na ya Vunharhu ya lembe ximali ra 2019/20: Ndzawulo yo Pulana, ku Kambisisa Matirhelo no Pima na Burende ya Afrika-Dzonga (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyankulu 2020, papila ra 15).",June
"Consideration of Report of Portfolio Committee on Basic Education on Petition from the residents of Dryharts village, calling on the Assembly to investigate the re-opening of the Molehabangwe Middle School, submitted by Mr I S Seitlholo, MP (Announcements, Tablings and Committee Reports, 26 February 2020, p 38).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya Dyondzo ya le Hansi hi mayelana na Phethixini yo huma eka vaaki va Muganga wa Dryharts lexi rhambaka Huvo ku lavisisa ku tlhela ku pfuriwa Xikolo xa le Xikarhi xa Molebabangwe lexi tisiweke hi tatana I S Seitlholo, Xirho xa Palamende (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Nyenyankulu 2020, papila ra 38).",June
"Consideration of Report of Portfolio Committee on Basic Education on oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Announcements, Tablings and Committee Reports, 26 February 2020, p 6).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti Vuangameri ya Huvo ya Rixaka ya swa Dyondzo ya le Hansi eka rendzo ro hoxa tihlo eka Swifundza swa Dyondzo swa Capricorn na Sekhukhune, Xifundzankulu xa Limpopo (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Nyenyenyana 2020, papila ra 6).",June
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Dyondzo ya le Hansi eka Swibumabumelo swo huma eka Ndzhaka ya Vanhu va le Griqua eka ku pfumaleka ka Xikolo xa le Purayimari (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyenyana 2020, papila ra 5).",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti Nkarhi Hinkwawo ya Nhlanganelo ya Mafambiselo ya Timali ta Palamende eka Matirhelo ya Palamende ya Riphabliki ra Afrika-Dzonga eka kotara yo sungula ya 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 9 N’wendzamhala 2019, papila ra 20).",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Nkarhi Hinkwawo ya Nhlanganelo ya Mafambiselo ya Timali ta Palamende eka Xiviko xa Palamende ya Riphabliki ra Afrika-Dzonga xa Lembe ra 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 9 N’wendzamhala 2019, papila ra 5).",June
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Dyondzo ya le Henhla, Sayense na Thekinoloji eka Swiviko swa Vulawuri bya Nkwama wa Swikili wa Rixaka na Dyondzo ya Xiyenge na Vuleteri swa Lembe ra 2018/19 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 5 N’wendzamhala 2019, papila ra 24).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya Mabindzu na Vumaki ya swa Ndzawulo ya Mabindzu na Vumaki na ya Nhluvukiso wa Ikhonomi ya Kotara ya Vumbirhi xa Matirhelo ya Timali na yo ka ya nga ri ya Timali ya lembeximali ra 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 5 N’wendzamhala 2019, papila ra 4).",June
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Nkarhi Hinkwawo ya swa Mukambelatinkota eka Xiviko xa lembe lexi Hlanganisiweke xa Mukambelatinkotankulu xa lembe ximali ra 2018/19 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 4 N’wendzamhala 2019, papila ra 3).",June
MOTIONS (Notice given previously):,TIMOXINI (Xitiviso lexi nyikiweke eka nkarhi lowu nga hundza):,June
"See p 94-96 (Ms R C Adams, Mr S Ngcobo, Ms M S Khawula, Ms N G Adoons, Mr S L Ngcobo, Ms T Breedt, Ms T Mgweba, Mr W M Thring, Mr N L S Kwankwa, Mr M L Shelembe, Mrs E N Ntlangwini, Ms F A Masiko, Mr S H Mbuyane, Ms A S Hlongo, M.Gen O S Terblanche, Mr M G E Hendricks, Mr T S Mpanza, Mr P P Keetse, Ms R C Adams).","Vona paila ra 94-96 (Manana R C Adams, Tatana S Ngcobo, Manana M S Khawula, Manana N G Adoons, TatanaS L Ngcobo, Manana T Breedt, Manana T Mgweba, Tatana W M Thring, Tatana N L S Kwankwa, Tatana M L Shelembe, Manana E N Ntlangwini, Manana F A Masiko, Tatana S H Mbuyane, Manana A S Hlongo, Jeneralinkulu O S Terblanche, TatanaM G E Hendricks, Tatana T S Mpanza, Tatana P P Keetse, Manana R C Adams).",June
APPENDIXES,SWITANDZHAKU,June
PETITIONS REFERRED TO COMMITTEES,TIPHETHIXINI LETI HUNDZISERIWEKE EKA TIKOMITI,June
"Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (Mr M Waters) – (Portfolio Committee on Police – National Assembly).",Phethixini yo suka eka vaaki va le Kempton Park lava rhamabaka Huvo ya Rixaka ku lavisisa ku kayivela ka vukona bya maphorisa hi ndlela leyi ringaneleke leswi nga heriki na ku pfumaleka ka mimovha exitichini xa maphorisa xa Kempton Park (Tatana M Waters) – Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa – Huvo ya Rixaka).,June
"Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","Phethixini yo suka eka vaaki va le Wattville, eBenoni lava rhambaka Huvo ya Rixaka ku languta vugevenga lebyi nga eku tlakukeni, ku katsa na madzolonga ya swa rimbewu na madozolonga eka vana, na ku laveka ka xitichi xa maphorisa endhawini ya ka vona (Manana H Ismail) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa – Huvo ya Rixaka).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","Phethixini yo suka eka vaaki va le Actonville, eBenoni lava rhambaka Huvo ya Rixaka ku lavisisa xiyimo xa le henhla xa vugevenga na swidzidziharisi, vuphakeri bya switichitsongo swa maphorisa na timovha ta maphorisa endhawini ya ka vona (Manana H Ismail) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa – Huvo ya Rixaka).",June
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Phethixini yo suka eka vaaki va le ka Dorobankulu ra le Ekurhuleni, lava rhambaka Huvo ya Rixaka ku lavisisa ku pfumaleka ka vukorhokeri byo rhwalela thyaka endhawini ya ka vona (Manana H Ismail) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mafumelo ya Ntirhisano na Timhaka ta Ndhavuko – Huvo ya Rixaka).",June
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).",Phethixini yo suka vaaki va muganga wa le Kokomeng na miganga leyi akelaneke na wona lava rhamabaka Huvo ya Rixaka ku lavisisa na ku rhangisa emahlweni ku pfuriwa nakambe ka xitichi xa maphorisa xa le Kokomeng (Tatana I S Seitlholo) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa - Huvo ya Rixaka).,June
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Phethixini yo suka eka vaaki va le Bredell, ePomona, Brentwood Park na le Glen Marais (wadi ya 25), Dorobankulu ra le Ekurhuleni, lava rhambaka Huvo ya Rixaka ku lavisisa ku wa ka mphakelo wo tshembheka wa gezi eka tindhawu ta ka vona (Manana H Ismail) – (Komiti ya Vuangameri ya huvo ya Rixaka ya swa Mafumelo ya Ntirhisano na Timhaka ta Ndhavuko – Huvo ya Rixaka).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Phethixini ya vaaki va le Actonville, eBenoni, lava rhambaka Huvo ya Rixaka leswaku yi lavisisa tihakelo ta le henhla swinene ta rhente leti hakeriwaka hi vahiri va tifulete ta khansele (Manana H Ismail) – (Komiti ya Vuangameri ya huvo ya Rixaka ya swa Matshamelo ya Vanhu, Mati na Mbhasiso – Huvo ya Rixaka).",June
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),MILAWUMBISI LEYI HUNDZISERIWEKE EKA NDLELA YO FUNGHA YA NHLANGANELO (JTM),June
Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76).,Nawumbisi wo Cinca Ku Antswisiwa ka Timfanelo ta Vun’wini bya Misava wa [B 6 – 2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke).,June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76).,Nawumbisi wo Cinca swa Vutleketli bya le Mapatwini wa Rixaka wa [B7-2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76).,Nawumbisi wo Cinca Huvo yo Aphila swa Vutleketli wa [B8-2020] (Huvo ya Rixaka – xiyenge xa 76 lexi ringanyetiweke).,June
BILLS REFERRED TO COMMITTEES,MILAWUMBISI LEYI HUNDZISERIWEKE EKA TIKOMITI,June
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","Nawumbisi wa Ku Sirheleriwa ka Mahungu ya Tiko wa [B 6H – 2010] (Huvo ya Rixaka– xiyenge xa 75) na ku kanakana ka Presidente hi mayelana mfambelano na Vumbiwa tanihilaha wu yisiweke hakona eka yena (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 12 JKhotavuxika 2020, papila ra 7) – (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso– Huvo ya Rixaka).",June
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Nawumbisi wo Cinca Swimakiwa swa Byalwa wa [B 10B – 2016] (Huvo ya Rixaka– xiyenge xa 75) na ku kanakana ka Presidente hi mayelana na mfambelano na Vumbiwa tanihilaha wu yisiweke hakona eka yena (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 12 JKhotavuxika 2020, papila ra 2) - (Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vurimi, Mpfuxeto wa Misava na Nhluvukiso wa Tindhawu ta le Matikoxikaya – Huvo ya Rixaka).",June
