eng,nso,source
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Pethišene go tšwa baduding ba Kokomeng le metseng ya baagišane, ba kgopela Ngwako go nyakišiša le go šetša kudu pulo leswa ya seteišene sa maphodisa sa Kokomeng (Mna I S Seitlholo) – (Komiti ya Phothefolio ya Thuto ya Sephodisa – Ngwako wa Bosetšhaba).",June
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Pethišene go tšwa baduding ba Bredell, Pomona, Brentwood Park le Glen Marais (wate 25), Toropkgolo ya Ekurhuleni, ba kgopela Ngwako go nyakišiša phuhlamo ya mothopo wa go botega wa motlagase mafelong a bona (Moh H Ismail) – (Komiti ya Phothefolio ya Pušotirišano le Merero ya Setšo – Ngwako wa Bosetšhaba).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Phetišene go tšwa go badudi ba Actonville, go la Benoni, ba dira boipiletšo go Kopano gore e nyakišiše ka kelo ya godimo ya tefelo ya rente ka bahiri ba difolete tšeo e lego tša khantshele (Mna H Ismail) – (Komiti ya Phothefolio ya Bodudi bja Batho, Meetse le Kelelatšhila – Ngwako wa Bosetšhaba).",June
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),MELAOKAKANYWA YEO E IŠITŠWEGO GO LEANO LA TLHOPHO LA MOHLAKANELWA (JTM),June
Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76).,Molaokakanywaphetošo wa Kaonafatšo ya Ditokelo tša go ba Mong wa Naga [B 6 - 2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego ya 76).,June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76).,Molaokakanywaphetošo wa Sephethephethe sa Ditsela tša Bosetšhaba [B7-2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego 76).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76).,Molaokakanywaphetošo wa Aphile ya Tsheko ya Dinamelwa [B8-2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego 76).,June
BILLS REFERRED TO COMMITTEES,MELAOKAKANYWA YEO E IŠITŠWEGO DIKOMITING,June
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","Molaokakanywa wa Tšhireletšo ya Tshedimošo ya Mmušo [B 6H – 2010] (Ngwako wa Bosetšhaba – kar 75) le kgopolo ya Mopresidente ka bomolatheo bja Molaokakanywa bjalo ka ge o rometšwe go yena (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 12 June 2020, letl 7) – (Komiti ya Phothefolio ya Toka le Ditirelo tša Tshokollo – Ngwako wa Bosetšhaba).",June
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Molaokakanywaphetošo wa Ditšweletšwa tša Bjala [B 10B – 2016] (Ngwako wa Bosetšhaba – kar 75) le kgopolo ya Mopresidente ka bomolatheo bja Molaokakanywa bjalo ka ge o rometšwe go yena (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 12 June 2020, letl 2) – (Komiti ya Phothefolio ya tša Temo, Tsošološo ya Naga le Tlhabollo ya Magae – Ngwako wa Bosetšhaba).",June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Molaokakanywa wa Dikgorotsheko tša Setšo [B 1B – 2017] (Ngwako wa Bosetšhaba – kar 76) – (Komiti yeo e Hlaotšwego ya Tšhireletšo le Toka– Lekgotla la Bosetšhaba la Diprofense).,June
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Molaokakanywa wa Sekema sa Dikotsi tša Tseleng [B 17B – 2017] (Ngwako wa Bosetšhaba – kar 75) – (Komiti ya Phothefolio ya Dinamelwa – Ngwako wa Bosetšhaba).,June
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Molaokakanywa wa Bosenyi bja Boditšhabatšhaba [B 37 – 2017] (Ngwako wa Bosetšhaba – kar 75) – (Komiti ya Phothefolio ya Toka le Ditirelo tša Tshokollo – Ngwako wa Bosetšhaba).,June
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Molaokakanywaphetošo wa Dikhamphani tša Boemafofane [B 5B – 2018] (Ngwako wa Bosetšhaba – kar 75) – (Komiti yeo e Hlaotšwego ya tša Dinamelwa, Bolaodi le Ditirelo tša Setšhaba, Mešomo ya Setšhaba le Mafarahlahla – Lekgotla la Bosetšhaba la Diprofense).",June
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Molaokakanywaphetošo wa Khampani ya Sephethephethe sa Moyeng le Ditirelo tša Dinyakišio tša Ditsela [B 6B – 2018] (Ngwako wa Bosetšhaba – kar 75) – (Komiti yeo e Hlaotšwego ya tša Dinamelwa, Bolaodi le Ditirelo tša Setšhaba, Mešomo ya Setšhaba le Mafarahlahla – Lekgotla la Bosetšhaba la Diprofense).",June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Molaokakanywaphetošo wa Thušo ya Leago [B 8B - 2018] (Ngwako wa Bosetšhaba – kar 76) – (Komiti yeo e Hlaotšwego ya tša Maphelo le Ditirelo tša Leago– Lekgotla la Bosetšhaba la Diprofense).,June
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Molaokakanywa wa Thibelo ya Bosenyi bja Lehloyo le Polelo ya Lehloyo [B 9 – 2018] (Ngwako wa Bosetšhaba – kar 75) – (Komiti ya Phothefolio ya Toka le Ditirelo tša Tshokollo – Ngwako wa Bosetšhaba).,June
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Molaokakanywaphetošo wa Mekitlana ya Mmušo [B 16 – 2018] (Ngwako wa Bosetšhaba – kar 75) – (Komiti ya Phothefolio ya Toka le Ditirelo tša Tshokollo – Ngwako wa Bosetšhaba).,June
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Molaokakanywaphetošo wa Mmušo wa Selegae: Ditho tša Mebasepala [B 19B – 2018] (Ngwako wa Bosetšhaba – kar 76) – (Komiti yeo e Hlaotšwego ya Pušotirišano le Merero ya Setšo, Meetse le Kelelatšhila le Bodulo bja Batho– Lekgotla la Bosetšhaba la Diprofense).",June
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Molaokakanywa wa Panka ya Peeletšo ya Afrika Borwa [B 26 – 2018] (Ngwako wa Bosetšhaba – kar 75) – (Komiti ya Sammaruri ya Ditšhelete– Ngwako wa Bosetšhaba).,June
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","Molaokakanywaphetošo wa go Kempola ga Bosetšhaba [B 27B – 2018] (Ngwako wa Bosetšhaba – kar 76) – (Komiti yeo e Hlaotšwego ya Dikgwebo le Intasteri, Tlhabollo ya Ekonomi, Tlhabollo ya Dikgwebopotlana, Boeti, Mešomo le Thwalo – Lekgotla la Bosetšhaba la Diprofense).",June
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Molaokakanywaphetošo wa Maphelo a Bosetšhaba [B 29 – 2018] (Ngwako wa Bosetšhaba – kar 76) – (Komiti ya Phothefolio ya Maphelo – Ngwako wa Bosetšhaba).,June
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Molaokakanywaphetošo wa Taolo ya Matlotlo a Setšhaba [B 41  2018] (Ngwako wa Bosetšhaba – kar 76) – (Komiti ya Sammaruri ya tša Matlotlo– Ngwako wa Bosetšhaba).,June
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Molaokakanywaphetošo wa Dinamelwa tša Moyeng [B 44 – 2018] (Ngwako wa Bosetšhaba – kar 75) – (Komiti ya Phothefolio ya Dinamelwa – Ngwako wa Bosetšhaba).,June
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Molaokakanywaphetošo wa Mmušo wa Selegae: Mananeo a Mmasepala [B 2 – 2019] (Ngwako wa Bosetšhaba – kar 76) – (Komiti ya Phothefolio ya Pušotirišano le Merero ya Setšo – Ngwako wa Bosetšhaba).,June
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Molaokakanywa wa Inšorentshe ya Maphelo a Bosetšhaba [B 11 - 2019] (Ngwako wa Bosetšhaba – kar 76) – (Komiti ya Phothefolio ya tša Maphelo – Ngwako wa Bosetšhaba).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Molaokakanywaphetošo wa Kamogelo a Manyalo a Setšo [B 12 - 2019] (Ngwako wa Bosetšhaba – kar 76) – (Komiti yeo e Hlaotšwego ya Tšhireletšo le Toka – Lekgotla la Bosetšhaba la Diprofense),June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice - National Council of Provinces).,Molaokakanywaphetošo wa Merero ya tša Toka [B 13B - 2019] (Ngwako wa Bosetšhaba – kar 75) – (Komiti yeo e Hlaotšwego ya Tšhireletšo le Toka - Lekgotla la Bosetšhaba la Diprofense).,June
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Molaokakanywa wa Taolo yeo e Ikemego ya Tshepetšo ya Motlagase [B 14 - 2019] (Ngwako wa Bosetšhaba – kar yeo e akantšwego ya 76) – (Komiti ya Phothefolio ya Didirišwa tša Diminerale le Enetši – Ngwako wa Bosetšhaba).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Molaokakanywaphetošo wa Tšhupetšo ya Merero ya Setšhaba le ya Bosenyi (Melato ya tša Thobalano) [B 22B - 2019] (Ngwako wa Bosetšhaba – kar ya 75) – (Komiti yeo e Hlaotšwego ya Tšhireletšo le Toka - Lekgotla la Bosetšhaba la Diprofense).,June
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Molaokakanywa wa Taolo ya Ekonomi ya Dinamelwa [B 1 - 2020] (Ngwako wa Bosetšhaba – kar ya 76) – (Komiti ya Phothefolio ya Dinamelwa – Ngwako wa Bosetšhaba).,June
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Molaokakanywaphetošo wa Phorofešene ya Bolekodi [B 2 - 2020] (Ngwako wa Bosetšhaba – kar yeo e šišintšwego ya 75) – (Komiti ya Sammaruri ya tša Matlotlo– Ngwako wa Bosetšhaba).,June
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Molaokakanywa wa Maikarabelo a Ditšhelete [B 5 - 2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego ya 76) – (Komiti ya Sammaruri ya Ditšhelete – Ngwako wa Bosetšhaba).,June
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Molaokakanywaphetošo wa Ditokelo tša Kaonafatšo ya go ba mong wa Naga [B 6 - 2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego 76) – (Komiti ya Phothefolio ya tša Temo, Tsošološo ya Naga le Tlhabollo ya Magae – Ngwako wa Bosetšhaba).",June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,Molaokakanywaphetošo wa Sephethephethe sa Ditsela tša Boditšhaba [B7-2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego 76) – (Komiti ya Phothefolio ya tša Dinamelwa – Ngwako wa Bosetšhaba).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,Molaokakanywaphetošo wa Aphile ya Tsheko ya Dinamelwa [B8-2020] (Ngwako wa Bosetšhaba – kar yeo e akantšwego 76) – (Komiti ya Phothefolio ya tša Dinamelwa – Ngwako wa Bosetšhaba).,June
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,MELAOKAKANYWA YA GO BUŠETŠWA NGWAKONG GORE E LEBELELWE KE MOPRESIDENTE,June
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,Molaokakanywa wa Tšhireletšo ya Tshedimošo ya Mmušo [B 6H – 2010] (Ngwako wa Bosetšhaba – kar ya 75).,June
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,Molaokakanywaphetošo wa Ditšweletšwa tša Bjala [B 10B – 2016] (Ngwako wa Bosetšhaba – kar ya 75).,June
Performers’ Protection Amendment Bill [B24B - 2016] (National Assembly – sec 75).,Molaokakanywaphetošo wa Tšhireletšo ya Baphegatši [B24B - 2016] ((Ngwako wa Bosetšhaba – kar ya 75).,June
Copyright Amendment Bill [B13B - 2017] (National Assembly – sec 75).,Molaokakanywaphetošo wa Khophiraethe [B13B - 2017] (Ngwako wa Bosetšhaba – kar ya 75).,June
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,MELAOKAKANYWA YEO E FETIŠITŠWEGO KE NGWAKO WA BOSETŠHABA GOMME YA FETIŠETŠWA GO LEKGOTLA LA BOSETŠHABA LA DIPROFENSE MORERONG WA TUMELELANO,June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Molaokakanywa wa Dikgorotsheko tša Setšo [B 1B – 2017] (Ngwako wa Bosetšhaba – kar ya 76).,June
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,Molaokakanywa wa Bosenyi bja Inthanete [B 6B – 2017] (Ngwako wa Bosetšhaba – kar ya 75).,June
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Molaokakanywaphetošo wa Dikhamphani tša Boemafofane [B 5B – 2018] (Ngwako wa Bosetšhaba – kar 75).,June
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Molaokakanywaphetošo wa Khamphani ya Sephethephethe sa Moyeng le Ditirelo tša Dinyakišio tša Ditsela [B 6B – 2018] (Ngwako wa Bosetšhaba – kar 75).,June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,Molaokakanywaphetošo wa Thušo ya Leago [B 8B - 2018] (Ngwako wa Bosetšhaba – kar 76).,June
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75).,Molaokakanywaphetošo wa Manyalo a Semolao [B 11B – 2018] (Ngwako wa Bosetšhaba – kar ya75).,June
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Molaokakanywaphetošo wa Mmušo wa Selegae: Ditho tša Mmasepala [B 19B – 2018] (Ngwako wa Bosetšhaba – kar ya 76).,June
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,Molaokakanywaphetošo wa Go Kempola ga Bosetšhaba [B 27B – 2018] (Ngwako wa Bosetšhaba – kar ya 76).,June
Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,Molaokakanywaphetošo wa Melao ya Mahlale le Thekhnolotši [B 42B - 2018] (Ngwako wa Bosetšhaba – kar 75).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,Molaokakanywaphetošo wa Kamogelo ya Manyalo a Setšo [B 12 - 2019] (Ngwako wa Bosetšhaba – kar 76).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,Molaokaknywaphetošo wa Merero ya tša Toka [B 13B - 2019] (Ngwako wa Bosetšhaba – kar 75).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,Molaokakanywaphetošo wa Tšhupetš yaMerero ya Setšhaba le ya Bosenyi (Melato ya tša Thobalano [B 22B - 2019] (Ngwako wa Bosetšhaba – kar 75).,June
INTERNATIONAL AGREEMENTS,DIKWANO TŠA BODITŠHABATŠHABA,June
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 – reported on 26 May 2020).","Kwano magareng ga Mmušo wa Rephabliki ya Afrika Borwa le Senthara ya Boditšhabatšhaba ya Boentšineere bja tša Ditšini le Paotheknolotši (ICGEB) ka ga Tlhamo ya Senthara ya Boditšhabatšhaba la Boentšineere bja tša Ditšini le Paotheknolotši (ICGEB) Rephabliking ya Afrika Borwa (Ya alwa tafoleng 18 Setemere 2019) (NA: E feteditšwe go Komiti ya Phothefolio ya Thuto ya Godimo, Mahlale le Theknolotši ka 19 Setemere 2019- e begilwe ka 5 Disemere 2019- ya fetišwa ka la 10 Matšhe) (NCOP: E feteditšwe go Komiti yeo e Hlaotšwego ya Thuto le Theknolotši, Dipapadi, Bokgabo le Setšo ka la 19 Nofemere 2019 – e begilwe ka 26 Mei 2020).",June
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Tiišetšo ya Tumelelano magareng ga Mmušo wa Rephabliki ya India, Mmušo wa Rephabliki ya Feterale ya Brazil le Mmušo wa Rephabliki ya Afrika Borwa ka ga Sekhwama sa IBSA sa Phetšišo ya Bohloki le Tlala (yeo e saennwego 17 Oktobere 2017) (Ya alwa tafoleng 18 Oktobere 2019). (NA: E fetišeditšwe go Komiti ya Phothefolio ya Dikamano tša Boditšhabatšba le Tšhomišano-mmogo ya Boditšhabatšhaba ka la 22 Oktobere 2019) (NCOP: E šupeditšwe go Komiti ye e Kgethilwego ya tša Tšhireletšo le Toka ka 24 Oktobere 2019).",June
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Kwano magareng ga Mmušo wa Rephabliki ya Afrika Borwa le Setšhaba sa Enetši ya Athomi ya Yuropa (EURATOM) go Hlola Tirišano Tirišong ya Enetši ya Nyuklea ka Khutšo (E adilwe ka 14 Nofemere 2019). (NA: E fetišeditšwe go Komiti ya Phothefolio ya Didirišwa tša Dimirale le Enetši ka la 18 Nofemere 2019).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020 – approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Kwano magareng ga Mmušo wa Rephabliki ya Afrika Borwa le Mmušo wa United Mexican States ka Thušo ya tša Molao Dinageng tše Mabapi le Merero ya tša Bosenyi (E adilwe ka di 5 tša Matšhe 2020). (NA: E fetišeditšwe go Komiti ya Phothefolio ya tša Toka le Ditirelo tša Tshokollo ka 9 Matšhe 2020 – e begilwe 29 Mei 2020) (NCOP: NCOP: E fetišeditšwe go Komiti yeo e Hlaotšwego ya tša Toka le Tšhireletšo ka la 10 Matšhe 2020 – e begilwe 1 June 2020).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 202 0– approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Kwano magareng ga Mmušo wa Rephabliki ya Afrika Borwa le Mmušo wa United Mexican States ka Pušetšomorago (E adilwe ka di 5 Matšhe 2020) (NA: E fetišeditšwe go Komiti ya Phothefolio ya tša Toka le Ditirelo tša Tshokollo ka di 9 Matšhe 2020 – e begilwe 29 Mei 2020) (NCOP: E fetišeditšwe go Komiti yeo e Hlaotšwego ya tša Tšhireletšo le Toka ka la 10 Matšhe 2020 – e begilwe 1 June 2020).,June
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,Tšhatha ya Afrika ya Dipalopalo (E adilwe ka la 5 Matšhe 2020) (NA: E fetišeditšwe go Komiti ya Phothefolio ya Taolo le Ditirelo tša Setšhaba ka la 9 Matšhe 2020).,June
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020).,Kwano ya Dikamano tša Segwera le Tirišano (TAC) go la Borwa Bohlabela bja Asia (E adilwe tafoleng ka la 18 Matšhe 2020) (NA: O išitšwe go Komiti ya Phothefolio ya Dikamano tša Boditšhabatšhaba le Tirišano ka la 26 Matšhe 2020 – e begilwe 11 June 2020 - e fetišitšwe 17 June 2020).,June
MOTIONS:,DITŠHIŠINYO:,June
"Draft resolution (Chief Whip of the Majority Party): That the House, notwithstanding Rule 27 on the election of temporary presiding officer, elects Mr Q R Dyantyi and Ms T Mahambehlala to act as temporary presiding officers in the chamber during hybrid sittings of the National Assembly, as and when necessary, for the duration of the 2020 annual session.","Sephethokakanywa (Sefepisegolo sa Lekgotla la Bontši): Gore Ngwako, ka ntle ga Molawana wa 27 ka go kgethwa ga balaodi ba nakwana, bakgethiwa bao e lego Mna Q R Dyantyi le Mdi T Mahambehlala gore e be baloadi ba nakwana ka go ntlo nakong ya ditulo tša go swarwa ka mekgwa ya go fapana tša Ngwako wa Bosetšhaba, ge go le bohlokwa le ge go nyakega, nakong ya sehla sa ngwaga sa 2020.",June
Draft resolution (Chief Whip of the Majority Party): That the House –,Sephethokakanywa (Sefepisegolo sa Mokgatlo wa Bontši): Gore Ngwako –,June
notes that –,o lemoga gore –,June
on 25 July 2019 an Ad Hoc Committee to initiate and introduce legislation amending section 25 of the Constitution was established and mandated to complete its task and report to the House by 31 March 2020;,ka la 25 Julae 2019 go ile gwa hlongwa Komiti ya Nakwana e thome go tsebagatša molao wa go fetoša karolo ya 25 ya Molaotheo gomme ya laelwa go fetša mošomo wa yona  le go begela Ngwako ka la 31 Matšhe 2020;,June
"on 5 March 2020, the Assembly extended the deadline for reporting to 29 May 2020;","ka la 5 Matšhe 2020, Kopano e ile ya katološa letšatši la mafelelo la go fa pego go ya go la 29 Mei 2020;",June
the Ad Hoc Committee ceased to exist on 29 May 2020 before it could complete its mandate;,Komiti ya Nakwana e emišitše go ba gona ka la 29 Mei 2020 pele ga ge e ka fetša go phethagatša taelo ya yona;,June
"re-establishes the Ad Hoc to initiate and introduce legislation amending section 25 of the Constitution with the same composition and powers as its predecessor (Minutes of Proceedings, 25 July 2019, p 68);","Komiti ya nakwana yeo e bopilwego ka maloko a go swana le ale a pele le ka maatla e hlomilwe gape go thoma le go tsebagatša molao wa go fetoša karolo ya 25 ya Molaotheo (Metsotso ya Ditshepetšo, 25 Julae 2019, letl 68);",June
instructs the Committee to incorporate in its work the proceedings and all the work of the previous committee up to and including 29 May 2020; and,o laela Komiti go akaretša ka go mešomo ya ditshepetšo le mošomo ka moka wa komiti yeo e fetilego go fihlela le go akaretša la 29 Mei 2020; le go,June
sets the deadline by which the Committee is to report to 31 December 2020.,go bea letšatši la mafelelo la 31 Disemere 2020 leo ka lona Komiti e swanetšego go fa pego.,June
ORDERS OF THE DAY:,TSHEPETŠO YA LETŠATŠI:,June
Debate in terms of Rule 130: The scourge of gender-based violence against women and femicide – (Ms N V Mente).,Ngangišano go ya ka Molawana wa 130: Bošoro bja dikgaruru kgahlanong le basadi le polao ya bona – (Mdi N V Mente).,June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Notices determining remuneration of Public Protector and Commissioners of South African Human Rights Commission with effect from 1 April 2019 (Announcement, Tablings and Committee Reports, 22 June 2020, p 15).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Toka le Ditirelo tša Tshokollo ka ga Ditsebišo tšeo di laetšago putseletšo ya Mošireletši wa Setšhaba le Bakhomišenare ba Khomišene ya Afrika Borwa ya Ditokelo tša Botho go tloga ka la 1 Aporele 2019 (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 22 June 2020, letl 15).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP) and Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP)  (Announcement, Tablings and Committee Reports, 18 June 2020, p 167).","Keleletšo ya Pego ya Komiti ya Phothefolio ya Pušotirišano le Merero ya Setšo ka  Phethišene ya go tšwa baduding ba Boksburg, mmasepaleng wa toropokgolo ya Ekurhuleni, e kgopela Ngwako go nyakišiša mathata a go tima ga motlagase kgafetšakgafetša (e rometšwe ke Mna M Waters, LP) le Phethišene ya go tšwa baduding ba Germiston, mmasepaleng wa toropokgolo ya Ekurhuleni, e kgopela Ngwako go nyakišiša mathata a go tima ga motlagase kgafetšakgafetša (e rometšwe ke Mna M Waters, LP)  (Ditsebišo, Tšeo di Adilwego Tafoleng le Dipego tša Dikomiti, 18 June 2020, letl 167).",June
