eng,zul,source
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho elibhekele Ezemfundo Ephakeme, iSayensi kanye Nezobuchwepheshe omayelana nokusebenza Kwesikhwama Sikazwelonke Sokubhekelela Ukuqeqeshelwa Amakhono kanye Nezikhungo Zokuqeqesha wezi-2018/19. (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-5 kuZibandlela wezi-2019, ikh 24).",March
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho elibhekele ezoHwebo neziMboni, kanye noMbiko weKota Yesibili yoMnyango Wezokuthuthukiswa koMnotho, kanye nombiko wokusebenza koMnyango kepha ongaphathelene nokusetshenziswa kwezimali wezi-2019/2020 ((Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla ziyi-5 kuZibandlela wezi-2019, ikh 4).",March
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Ukucutshungulwa KoMbiko WeKomidi LesiShayamthetho elibhekele ukusebenza kweHhovisi loMcwaningi-Mabhuku Jikelele omayelana nokusebenza kwaleli Hhovisi onyakeni wezimali wezi-2018/19 (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-4 kuZibandlela wezi-2019, ikh 3).",March
MOTIONS (Notice given previously):,IZIPHAKAMISO (Isaziso ebesikhishwe ngaphambilini):,March
"See p 28-31 (Mr E T Myeni, (Mrs D van der Walt, Mrs D B Ngwenya, Ms A Gela, Ms M D Hlengwa, Mr P Mey, Ms A Motaung, Mr S N Swart, Ms H S Winkler, Mr B S Madlingozi, Ms T I Legwase, Mr A M Shaik Emam, Ms A M Molekwa, Ms A S Hlongo, Ms B S Masango, Ms T Mgweba, Ms N P Sonti, Mr K Ceza).","Bheka ikh 28-31 (Mnu E T Myeni, (Nkk D van der Walt, Nkk D B Ngwenya, Nks A Gela, Ms M D Hlengwa, Mnu P Mey, Ms A Motaung, Mnu S N Swart, Nks H S Winkler, Mnu B S Madlingozi, Nks T I Legwase, Mnu A M Shaik Emam, Nks A M Molekwa, Nks A S Hlongo, Nks B S Masango, Nks T Mgweba, Nks N P Sonti, Mnu K Ceza).",March
APPENDIXES,IZITHASISELO,March
PETITIONS REFERRED TO COMMITTEES,IZIKHALAZO EZIBHEKISWE EMAKOMIDINI,March
"Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Uhlu lwesikhalazo esivela emphakathini waseGermiston, uMasipala omkhulu wase-Ekurhuleni ucela isiShayamthetho sikaZwelonke ukuthi siphenye mayelana nokunqamuka kwamandla kagesi okuningana (uMnu. M Waters) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NoKubambisana kanye Nezindaba zeNdabuko – iNdlu yesiShayamthetho sikaZwelonke).",March
"Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Isikhalazo esivela emphakathini waseBoksburg, uMasipala omkhulu wase-Ekurhuleni, ucela isiShayamthetho sikaZwelonke ukuthi siphenye mayelana nokunqamuka kwamandla kagesi okuningana (Mnu. M Waters) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NgoKubambisana kanye neziNdaba zeNdabuko – iNdlu yesiShayamthetho sikaZwelonke).",March
"Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (Mr M Waters) – (Portfolio Committee on Police – National Assembly).","Uhlu lwesikhalazo esivela emphakathini wase Kempton Park, ucela isiShayamthetho sikaZwelonke ukuthi siphenye ngokungabonakali kwamaphoyisa agcaluzayo kanye nokungabikhona kwezimoto zamaphoyisa ezanele esiteshini samaphoyisa ase-Kempton Park (Mnu. M Waters) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele eZamaphoyis).",March
"Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (Mr D Bergman) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Uhlu lwesikhalazo esivela emphakathini wase-Alberton, ucela isiShayamthetho ukuthi siphenye ngokubamba iqhaza komphakathi kanye nokulandelwa komthetho kwintuthuko yokwakhiwa kwezindlu okuhlongoziwe e-Alberton (Mnu D Bergman) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa noKubambisana kanye neziNdaba zeNdabuko – iNdlu yesiShayamthetho sikaZwelonke).",March
"Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","Uhlu lwesikhalazo esivela emphakathini waseWattville, eBenoni ucela isiShayamthetho ukuthi sikhulume ngobugebengu obudlondlobalayo, kubalwa nodlame oluyamene nobulili kanye nodlame olubhekiswe ezinganeni, kanye nangesidingo sesiteshi samaphoyisa endaweni yawo (uMnu H Ismail) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezamaphoyisa – iNdlu yesiShayamthetho sikaZwelonke).",March
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","Uhlu lwesikhalazo esivela emphakathini wase-Actonville, eBenoni, ucela isiShayamthetho ukuthi siphenye izinga eliphakeme lobugebengu nezidakamizwa, nokuthi indawo yawo ihlinzekwe ngomahambanendlwana bamaphoyisa kanye nezimoto zamaphoyisa (Mnu H Ismail) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezamaphoyisa – iNdlu yesiShayamthetho sikaZwelonke).",March
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).",Uhlu lwesikhalazo esivela emphakathini woMasipala Omkhulu wase-Ekurhuleni ucela isiShayamthetho ukuthi siphenye mayelana nokuthuthwa okungahambi kahle kukadoti okuhlala kwenzeka endaweni yawo (Mnu H Ismail) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NgoKubambisana kanye Nezindaba zeNdabuko – iNdlu yesiShayamthetho sikaZwelonke).,March
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Uhlu lwesikhalazo esivela emphakathini waseKokomeng kanye nasezigodini ezingomakhelwane, ucela isiShayamthetho ukuthi siphenye futhi sibeke phambili ukuvulwa kabusha kwesiteshi samaphoyisa saseKokomeng (Mnu I S Seitlholo) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezamaphoyisa – iNdlu yesiShayamthetho sikaZwelonke).",March
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Isikhalazo esivela emphakathini waseBredell, ePomona, Berentwood Park kanye naseGlen Marais (esigcemeni sa-25), iDolobhakazi lase-Ekurhuleni, ucela iSishayamthetho ukuthi siphenye ngokufadabala kokuhlinzekwa okuthembekayo kogesi ezindaweni zawo (Nksz H Ismail) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NgoKubambisana kanye neziNdaba zeNdabuko – iNdlu yesiShayamthetho sikaZwelonke).",March
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Isikhalazo esivela emphakathini wase-Actonville, eBenoni, ucela isiShayamthetho ukuthi siphenye izinga eliphakeme lemali yokuqasha ekhokhwa ngabantu abahlala emafulethini oMkhandlu (Mnu H Ismail) – (IKomidi LesiShayamthetho elibhekelele Ezokuhlaliswa Kwabantu, Ezamanzi kanye Nokuthuthwa Kwendle – IsiShayamthetho Sikazwelonke).",March
"Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (Mr D Bergman) – (Portfolio Committee on Cooperative Governance and Traditional Affairs and Portfolio Committee on Police – National Assembly).","Isikhalazo esivela emphakathini eWadini 37, e-Alberton North, Ekurhuleni, ucela isiShayamthetho ukuthi siphenye mayelana nokuqhwagwa kwesiza esingunombolo 1/1224 number 42, Second Avenue, e-Alberton North (Mnu D Bergman) – (IKomidi LesiShayamthetho elibhekelele EzoMasipala Nobuholi Bendabuko kanye nelozoMbutho Wamaphoyisa - IsiShayamthetho SikaZwelonke).",March
BILLS INTRODUCED AND TO BE REFERRED TO COMMITTEES,IMITHETHOSIVIVINYWA ETHULIWE YASE ITHUNYELWA      EMAKOMIDINI,March
Division of Revenue Bill [B 3 – 2020] (National Assembly – proposed sec 76).,Umthethosivivinywa Wokwabiwa Kwezimali [ B 3-2020] (IsiShayamthetho Sikazwelonke- siphakanyiswe kwisigaba-76).,March
Appropriation Bill [B 4 – 2020] (National Assembly – proposed sec 77).,Umthethosivivinywa Wezimali [B 4-2020] (IsiShayamthetho Sikazwelonke- siphakanyiswe kwisigaba- 77).,March
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),IMITHETHOSIVIVINYWA ETHUNYELWE EKOMIDINI LOKUHLUNGA ELIYINHLANGANISELA (JTM),March
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22 - 2019] (National Assembly – proposed sec 75).,ISichibiyelo SoMthethosivivinywa Wokuphelelwa Isikhathi KweziNdaba ZoMbango kanye Namacala Obugebengu (Amacala Ezocansi) [B 22 - 2019] (iNdlu yesiShayamthetho sikaZwelonke – esihlongoziwe isigaba- 75).,March
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – proposed sec 75).,Isichibiyelo soMthethosivivinywa Wokulawula uMkhakha Wabacwaningimabhuku [B 2 - 2020] (iNdlu yesiShayamthetho sikaZwelonke isigaba–75).,March
Division of Revenue Bill [B 3 – 2020] (National Assembly – proposed sec 76).,Umthethosivivinywa Wokwabiwa Kwezimali [ B 3-2020] (IsiShayamthetho Sikazwelonke- siphakanyiswe kwisigaba-76).,March
Appropriation Bill [B 4 – 2020] (National Assembly – proposed sec 77).,Umthethosivivinywa Wezimali [B 4-2020] (IsiShayamthetho Sikazwelonke- siphakanyiswe kwisigaba- 77).,March
BILLS REFERRED TO COMMITTEES,IMITHETHOSIVIVINYWA EBHEKISWE EMAKOMIDINI,March
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Isichibiyelo soMthethosivivinywa seziNkantolo zeNdabuko [B 1B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (iKomidi loMkhandlu kaZwelonke Wezifundazwe elibhekele Ezokuphepha kanye Nezobulungiswa –uMkhandlu kaZwelonke Wezifundazwe).,March
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,UMthethosivivinywa WobuGebengu Obenziwe Nge-Inthanethi [B 6B – 2017] (iNdlu yesiShayanthetho sikaZwelonke – isigaba-75) – (iKomidi loMkhandlu kaZwelonke Wezifundazwe elibhekele Ezokuphepha kanye Nezobulungiswa).,March
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Isichibiyelo soMthethosivivinywa Wesikhwama Semihlomulo YeziNgozi ZemiGwaqo [B 17B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke).,March
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Wamacala Enziwe Ezingeni Lamazwe Omhlaba [B 37 – 2017] (iNdlu yesiShayamthetho sikaZwelonke –isgaba-75) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,March
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","UMthethosivivinywa WeNkampani Yezindiza [B 5B-2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) (iKomidi Lomkhandlu WeziFundazwe LezokuThutha, Abasebenzi BakaHulumeni, iMisebenzi Yomphakathi kanye Nenqalasizinda- uMkhandlu kaZwelonke Wezifundazwe)",March
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","UMthethosivivinywa Wokuhamba Emoyeni kanye Nezinkampani Ezilawula Ukuhamba Emoyeni [B 6B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – sisigaba-75) (iKomidi Lomkhandlu WeziFundazwe LezokuThutha, Abasebenzi BakaHulumeni, iMisebenzi Yomphakathi kanye Nenqalasizinda- uMkhandlu kaZwelonke Wezifundazwe).",March
Social Assistance Amendment Bill [B 8 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Social Development – National Assembly).,Isichibiyelo soMthethosivivinywa Sokubonelelwa Ngezimali Zombuso [B 8 – 2018] (iNdlu yesiShayamthetho sikaZwelonke – sisigaba-76) – (iKomidi leNdlu yesiShayamtheho sikaZwelonke elibhekele Ezentuthuko Yomphakathi – iNdlu yesiShayamthetho sikaZwelonke).,March
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Sokuvikela Amacala Enzondo kanye Nenkulumo Enenzondo [B 9 – 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,March
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75) – (Select Committee on Health and Social Services – National Council of Provinces).,Isichibiyelo soMthethosivivinywa Wokushadiswa Kwabantu Bobulili Obufanayo [B 11B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) – (iKomidi loMkhandlu kaZwelonke Wezifundazwe elibhekele Ezempilo kanye Nemisebenzi Yezenhlalakahle – uMkhandlu kaZwelonke Wezifundazwe).,March
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Wezikweletu zoMbuso [B 16 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) – (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa Kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,March
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Ohulumeni Basekhaya: Isichibiyelo soMthethosivivinywa Wezinhlaka zoMasipala [B 19B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (iKomidi loKhandlu kaZwelonke Wezifundazwe elibhekele Ezokubusa ngokubambisana kanye Nezindaba Zendabuko, Ezamanzi kanye Nokuthuthwa Kwendle Nokuhlaliswa Kwabantu – uMkhandlu kaZwelonke Wezifundazwe).",March
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Isichibiyelo soMthethosivivinywa Webhangengodla laseNingizimu Afrika [B 26 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) – (iKomidi Elingaguquki elibhekele Ezezimali – iNdlu yesiShayamthetho sikaZwelonke).,March
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","Isichibiyelo soMthethosivivinywa WezokuGembula kuZwelonke [B 27B – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezokuhweba kanye Nezimboni, Ukuthuthukiswa Kwamabhizinisi Amancane, Ezokuvakasha, Ezokuqashwa kanye Nezabasebenzi – uMkhandlu kaZwelonke Wezifundazwe).",March
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Isichibiyelo soMthethosivivinywa Wezempilo kaZwelonke [B 29 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezempilo – iNdlu yesiShayamthetho sikaZwelonke).,March
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Isichibiyelo soMthethosivivinywa Wokulawulwa Kwezimali Zikahulumeni [B 41 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (IKomidi Elingaguquki elibhekele Ezezimali – iNdlu yesiShayamthetho sikaZwelonke).,March
"Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75) – (Select Committee on Education and Technology, Sports, Arts and Culture – National Council of Provinces).","Isichibiyelo soMthethosivivinywa WeSayensi NoBuchwepheshe [B 42B  2018] (IsiShayamthetho SikaZwelonke, isigaba 75) – (IKomiti Lomkhandlu KaZwelonke WeziFundazwe elibhekele EzeMfundo kanye NoBuchwepheshe, Ezemidlalo, Ezamaciko kanyeNamasiko) – UMmkhandlu KaZwelonke WeziFundazwe).",March
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Isichibiyelo soMthethosivivinywa WeziNdiza Zomphakathi [B 44 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke) – ((iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke).,March
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Ohulumeni Basekhaya: Isichibiyelo soMthethosivivinywa Wezindlela ZoMasipala Zokwenza Izinto [B 2 – 2019] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi leNdlu yesiShayamththo sikaZwelonke elibhekele EzokuBusa NgokuBambisana kanye NeziNdaba zeNdabuko – iNdlu yesiShaymthetho sikaZwelonke).,March
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,UMthethosivivinywa woMshwalense kaZwelonke Wezempilo [B 11 - 2019] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (IKomidi LeSishayamthetho elibhekele Ezempilo – iNdlu yesiShayamthetho sikaZwelonke).,March
Recognition of Customary Marriages Amendment Bill [B 12  2019] (National Assembly – sec 76) – (Portfolio Committee on Justice and Correctional Services – National Assembly) (Referred to National House of Traditional Leaders on 8 November 2019).,ISichibiyelo SoMthethosivivinywa Owamukela Imishado Yesintu [B 12  2019] (iNdlu yesiShayamthetho kaZwelonke – isigaba-76) – (iKomidi LeSishayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nemisebenzi Yezokuhlunyeleliswa Kwezimilo – iNdlu yesiShayamthetho sikaZwelonke) (Sithunyelwe ENdlini Kazwelonke Yabaholi Bendabuko mhlazi-8 kuLwezi wezi-2019).,March
Judicial Matters Amendment Bill [B 13 - 2019] (National Assembly –sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,ISichibiyelo soMthethosivivinywa Wezindaba Zezobulungiswa [B 13 - 2019] (iNdlu yesiShayamthetho kaZwelonke – isigaba-75) – (iKomidi LeSishayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nemisebenzi Yezokuhlunyeleliswa Kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,March
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Isichibiyelo soMthethosivivinywa Wokulawula Ukusebenza Okuzimele Emkhakheni Wogesi [B 14 - 2019] (iNdlu yesiShayamthetho sikaZwelonke – ohlingoziwe isigaba-76) – (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezezimbiwa kanye Nezamandla – iNdlu yesiShayamthetho sikaZwelonke).,March
Military Discipline Bill [B 21  2019] (National Assembly – sec 75) – (Portfolio Committee on Defence and Military Veterans – National Assembly).,Umthethosivivinywa Wokuqondiswa Kwezigwegwe Embuthweni Wezokuvikela [B 21  2019] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) – (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezokuvikela kanye NoMbutho Wasebemkantshubomvu iNdlu yesiShayamthetho sikaZwelonke).,March
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22 - 2019] (National Assembly – proposed sec 75) - (Portfolio Committee on Justice and Correctional Services – National Assembly).,ISichibiyelo SoMthethosivivinywa Wokuphelelwa Isikhathi KweziNdaba ZoMbango kanye Namacala Obugebengu (Amacala Ezocansi) [B 22 - 2019] (iNdlu yesiShayamthetho sikaZwelonke – esihlongoziwe isigaba- 75).,March
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Isichibiyelo soMthethosivivinywa Wokulawulwa Komnotho Wezokuthutha [B 1 - 2020] (iNdlu yesiShayamthetho sikaZwelonke isigaba– 76) – (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke).,March
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – proposed sec 75) – (Standing Committee on Finance – National Assembly).,Isichibiyelo soMthethosivivinywa Wokulawula uMkhakha Wabacwaningimabhuku [B 2 - 2020] (iNdlu yesiShayamthetho sikaZwelonke – esihlongoziwe isigaba-75) – (iKomidi Elingaguquki elibhekel Ezezimali – iNdlu yesiShayamthetho sikaZwelonke).,March
"BILLS, SUBJECT TO PROPOSED AMENDMENTS, PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE",IMITHETHOSIVIVINYWA ECHITSHIYELWE YASE IPHASISWA UMKHANDLU KAZWELONKE WEZIFUNDAZWE YABE SEYIBUYISELWA KWISISHAYAMTHETHO SIKAZWELONKE UKUZE KUYOVUNYELWANA NGAYO,March
Defence Amendment Bill [B 18 – 2017] (National Assembly – sec 75).,Isichibiyelo soMthethosivivinywa Wezokuvikela ongu [B 18 – 2017(iNdlu yesiShayamthetho sikaZwelonke – isigaba-75).,March
BILLS AMENDED AND PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE,IMITHETHOSIVIVINYWA ECHITSHIYELWE YASE IPHASISWA UMKHANDLU KAZWELONKE WEZIFUNDAZWE YABE SEYIBUYISELWA KWISISHAYAMTHETHO SIKAZWELONKE UKUZE KUYOVUNYELWANA NGAYO,March
National Land Transport Amendment Bill [B 7D – 2016] (National Assembly – sec 76).,Isichibiyelo soMthethosivivinywa Womhlaba kaZwelonke Wezokuthutha [B   7D 2016] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76).,March
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,IMITHETHOSIVIVINYWA EPHASISWE ISISHAYAMTHETHO SIKAZWELONKE YAZE YADLULISELWA EMKHANDLWINI KAZWELONKE WEZIFUNDAZWE UKUZE KUYOVUNYELWANA NGAYO,March
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Isichibiyelo soMthethosivivinywa seziNkantolo zeNdabuko [B 1B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76).,March
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75).,UMthethosivivinywa WobuGebengu Obenziwe Nge-Inthanethi [B 6B – 2017] (iNdlu yesiShayanthetho sikaZwelonke – isigaba-75).,March
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,UMthethosivivinywa WeNkampani Yezindiza [B 5B-2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75),March
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,UMthethosivivinywa Wokuhamba Emoyeni kanye Nezinkampani Ezilawula Ukuhamba Emoyeni [B 6B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – sisigaba-75),March
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75).,Isichibiyelo soMthethosivivinywa Wemishado Yabantu Bobulili Obufanayo [B 11B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75).,March
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Ohulumeni Basekhaya: Isichibiyelo soMthethosivivinywa Wezinhlaka ZoMasipala [B 19B – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76).,March
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,Isichibiyelo soMthethosivivinywa Kazwelonke WezokuGembula [B 27B – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76).,March
Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,Isichibiyelo soMthethosivivinywa WeSayensi noBuchwepheshe [B 42B  2018] (IsiShayamthetho SikaZwelonke – Isigaba 75).,March
INTERNATIONAL AGREEMENTS,IZIVUMELWANO ZAMAZWE OMHLABA,March
