eng,afr,source
"Consideration of Request for Approval by Parliament of Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa in terms of section 231(2) of Constitution, 1996 (Report of Portfolio Committee on Higher Education, Science and Technology, see Announcements, Tablings and Committee Reports, 5 December 2019, p 73).","Oorweging van Versoek om Goedkeuring deur Parlement van Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa ingevolge artikel 231(2) van Grondwet, 1996 (Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie, kyk Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 73).",March
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Oorweging van Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 64).",March
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Oorweging van Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 24).",March
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 4).",March
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Oorweging van Verslag van Staande Komitee oor Ouditeur-Generaal oor Integrated Annual Report of Auditor-General for financial year 2018/19 (Aankondigings, Tertafelleggings en Komiteeverslae, 4 Desember 2019, bl 3).",March
MOTIONS (Notice given previously):,VOORSTELLE (Kennis voorheen gegee):,March
"See p 28-31 (Mr E T Myeni, (Mrs D van der Walt, Mrs D B Ngwenya, Ms A Gela, Ms M D Hlengwa, Mr P Mey, Ms A Motaung, Mr S N Swart, Ms H S Winkler, Mr B S Madlingozi, Ms T I Legwase, Mr A M Shaik Emam, Ms A M Molekwa, Ms A S Hlongo, Ms B S Masango, Ms T Mgweba, Ms N P Sonti, Mr K Ceza).","Kyk bl 28-31 (mnr E T Myeni, mev D van der Walt, mev D B Ngwenya, me A Gela, me M D Hlengwa, mnr P Mey, me A Motaung, mnr S N Swart, me H S Winkler, mnr B S Madlingozi, me T I Legwase, mnr A M Shaik Emam, me A M Molekwa, me A S Hlongo, me B S Masango, me T Mgweba, me N P Sonti, mnr K Ceza).",March
APPENDIXES,AANHANGSELS,March
PETITIONS REFERRED TO COMMITTEES,PETISIES NA KOMITEES VERWYS,March
"Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",March
"Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","2.	Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (Mr M Waters) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",March
"Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (Mr M Waters) – (Portfolio Committee on Police – National Assembly).","3.	Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (Mr M Waters) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",March
"Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (Mr D Bergman) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","4.	Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (Mr D Bergman) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",March
"Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","5.	Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (Ms H Ismail) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",March
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (Ms H Ismail) – (Portfolio Committee on Police – National Assembly).","6.	Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (Ms H Ismail) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",March
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","7.	Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",March
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","8.	Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portefeuljekomitee oor Polisie – Nasionale Vergadering).",March
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","9.	Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).",March
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","10.	Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portefeuljekomitee oor Menslike Nedersettings, Water en Sanitasie – Nasionale Vergadering).",March
"Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (Mr D Bergman) – (Portfolio Committee on Cooperative Governance and Traditional Affairs and Portfolio Committee on Police – National Assembly).","11.	Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (Mr D Bergman) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake en Portefeuljekomitee oor Polisie – Nasionale Vergadering).",March
BILLS INTRODUCED AND TO BE REFERRED TO COMMITTEES,WETSONTWERPE INGEDIEN EN NA KOMITEES VERWYS,March
Division of Revenue Bill [B 3 – 2020] (National Assembly – proposed sec 76).,Division of Revenue Bill [B 3 – 2020] (Nasionale Vergadering – voorgestelde art 76).,March
Appropriation Bill [B 4 – 2020] (National Assembly – proposed sec 77).,2.	Appropriation Bill [B 4 – 2020] (Nasionale Vergadering – voorgestelde art 77).,March
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),WETSONTWERPE NA GESAMENTLIKE KLASSIFISERINGSMEGANISME (GKM) VERWYS,March
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22 - 2019] (National Assembly – proposed sec 75).,Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22 - 2019] (Nasionale Vergadering – voorgestelde art 75).,March
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – proposed sec 75).,Auditing Profession Amendment Bill [B 2 - 2020] (Nasionale Vergadering – voorgestelde art 75).,March
Division of Revenue Bill [B 3 – 2020] (National Assembly – proposed sec 76).,Division of Revenue Bill [B 3 – 2020] (Nasionale Vergadering – voorgestelde art 76).,March
Appropriation Bill [B 4 – 2020] (National Assembly – proposed sec 77).,Appropriation Bill [B 4 – 2020] (Nasionale Vergadering – voorgestelde art 77).,March
BILLS REFERRED TO COMMITTEES,WETSONTWERPE NA KOMITEES VERWYS,March
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Traditional Courts Bill [B 1B – 2017] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,March
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Cybercrimes Bill [B 6B – 2017] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,March
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Road Accident Benefit Scheme Bill [B 17B – 2017] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,March
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,International Crimes Bill [B 37 – 2017] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,March
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Airports Company Amendment Bill [B 5B – 2018] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Vervoer, Staatsdiens en Administrasie, Openbare Werke en Infrastruktuur – Nasionale Raad van Provinsies).",March
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Gekose Komitee oor Vervoer, Staatsdiens en Administrasie, Openbare Werke en Infrastruktuur – Nasionale Raad van Provinsies).",March
Social Assistance Amendment Bill [B 8 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Social Development – National Assembly).,Social Assistance Amendment Bill [B 8 – 2018] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Maatskaplike Ontwikkeling – Nasionale Vergadering).,March
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,March
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75) – (Select Committee on Health and Social Services – National Council of Provinces).,Civil Union Amendment Bill [B 11B – 2018] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Gesondheid en Maatskaplike Dienste – Nasionale Raad van Provinsies).,March
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,State Liability Amendment Bill [B 16 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,March
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Samewerkende Regering en Tradisionele Sake, Water en Sanitasie en Menslike Nedersettings – Nasionale Raad van Provinsies).",March
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,South African Reserve Bank Bill [B 26 – 2018] (Nasionale Vergadering – art 75) – (Staande Komitee oor Finansies – Nasionale Vergadering).,March
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","National Gambling Amendment Bill [B 27B – 2018] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Handel en Nywerheid, Ekonomiese Ontwikkeling, Kleinsakeontwikkeling, Toerisme, Arbeid en Indiensneming – Nasionale Raad van Provinsies).",March
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,National Health Amendment Bill [B 29 – 2018] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Gesondheid – Nasionale Vergadering).,March
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Public Finance Management Amendment Bill [B 41  2018] (Nasionale Vergadering – art 76) – (Staande Komitee oor Finansies – Nasionale Vergadering).,March
"Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75) – (Select Committee on Education and Technology, Sports, Arts and Culture – National Council of Provinces).","Science and Technology Laws Amendment Bill [B 42B  2018] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Onderwys en Tegnologie, Sport, Kuns en Kultuur – Nasionale Raad van Provinsies).",March
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Civil Aviation Amendment Bill [B 44 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,March
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).,March
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,National Health Insurance Bill [B 11 - 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Gesondheid – Nasionale Vergadering).,March
Recognition of Customary Marriages Amendment Bill [B 12  2019] (National Assembly – sec 76) – (Portfolio Committee on Justice and Correctional Services – National Assembly) (Referred to National House of Traditional Leaders on 8 November 2019).,Recognition of Customary Marriages Amendment Bill [B 12  2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering) (Verwys na Nasionale Huis van Tradisionele Leiers op 8 November 2019).,March
Judicial Matters Amendment Bill [B 13 - 2019] (National Assembly –sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Judicial Matters Amendment Bill [B 13 - 2019] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,March
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Independent Electricity Management Operator Bill [B 14 - 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Minerale Hulpbronne en Energie – Nasionale Vergadering).,March
Military Discipline Bill [B 21  2019] (National Assembly – sec 75) – (Portfolio Committee on Defence and Military Veterans – National Assembly).,Military Discipline Bill [B 21  2019] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Verdediging en Militêre Veterane – Nasionale Vergadering).,March
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22 - 2019] (National Assembly – proposed sec 75) - (Portfolio Committee on Justice and Correctional Services – National Assembly).,Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22 - 2019] (Nasionale Vergadering – voorgestelde art 75) - (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,March
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Economic Regulation of Transport Bill [B 1 - 2020] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,March
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – proposed sec 75) – (Standing Committee on Finance – National Assembly).,Auditing Profession Amendment Bill [B 2 - 2020] (Nasionale Vergadering – voorgestelde art 75) – (Staande Komitee oor Finansies – Nasionale Vergadering).,March
"BILLS, SUBJECT TO PROPOSED AMENDMENTS, PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE","WETSONTWERPE, ONDERWORPE AAN VOORGESTELDE WYSIGINGS, DEUR NASIONALE RAAD VAN PROVINSIES GOEDGEKEUR EN NA NASIONALE VERGADERING TERUGGESTUUR VIR INSTEMMING",March
Defence Amendment Bill [B 18 – 2017] (National Assembly – sec 75).,Defence Amendment Bill [B 18 – 2017] (Nasionale Vergadering – art 75).,March
BILLS AMENDED AND PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE,WETSONTWERPE DEUR NASIONALE RAAD VAN PROVINSIES GEWYSIG EN GOEDGEKEUR EN NA NASIONALE VERGADERING TERUGGESTUUR VIR INSTEMMING,March
National Land Transport Amendment Bill [B 7D – 2016] (National Assembly – sec 76).,National Land Transport Amendment Bill [B 7D – 2016] (Nasionale Vergadering – art 76).,March
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,WETSONTWERPE DEUR NASIONALE VERGADERING GOEDGEKEUR EN NA NASIONALE RAAD VAN PROVINSIES GESTUUR VIR INSTEMMING,March
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Traditional Courts Bill [B 1B – 2017] (Nasionale Vergadering – art 76).,March
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75).,Cybercrimes Bill [B 6B – 2017] (Nasionale Vergadering – art 75).,March
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Airports Company Amendment Bill [B 5B – 2018] (Nasionale Vergadering – art 75).,March
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (Nasionale Vergadering – art 75).,March
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75).,Civil Union Amendment Bill [B 11B – 2018] (Nasionale Vergadering – art 75).,March
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (Nasionale Vergadering – art 76).,March
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,National Gambling Amendment Bill [B 27B – 2018] (Nasionale Vergadering – art 76).,March
Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,8. 	Science and Technology Laws Amendment Bill [B 42B  2018] (Nasionale Vergadering – art 75).,March
INTERNATIONAL AGREEMENTS,INTERNASIONALE OOREENKOMSTE,March
"Convention establishing the Square Kilometre Array (SKA) Observatory (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 – reported on 8 October 2019 – approved on 6 November 2019) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 - reported on 19 February 2020).","Convention establishing the Square Kilometre Array (SKA) Observatory (Ter tafel gelê op 18 September 2019) (NV: Verwys na Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie op 19 September 2019 – voorgelê op 8 Oktober 2019 – goedgekeur op 6 November 2019) (NRVP: Verwys na Gekose Komitee oor Onderwys en Tegnologie, Sport, Kuns en Kultuur op 19 November 2019 – voorgelê op 19 Februarie 2020).",March
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019).","Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Ter tafel gelê op 18 September 2019) (NV: Verwys na Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie op 19 September 2019 – voorgelê op 5 Desember 2019) (NRVP: Verwys na Gekose Komitee oor Onderwys en Tegnologie, Sport, Kuns en Kultuur op 19 November 2019).",March
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Ter tafel gelê op 18 Oktober 2019) (NV: Verwys na Portefeuljekomitee oor Internasionale Betrekkinge en Samewerking op 22 Oktober 2019) (NRVP: Verwys na Gekose Komitee oor Veiligheid en Justisie op 24 Oktober 2019).",March
Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Extradition (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 18 November 2019 – reported on 3 March 2020) (NCOP: Referred to Select Committee on Security and Justice on 30 January 2020).,Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Extradition (Ter tafel gelê op 14 November 2019) (NV: Verwys na Portefeuljekomitee oor Justisie en Korrektiewe Dienste op 18 November 2019 – op 3 Maart 2020 gerapporteer) (NRVP: Verwys na Gekose Komitee oor Veiligheid en Justisie op 30 Januarie 2020).,March
Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Mutual Legal Assistance in Criminal Matters (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 18 November 2019 – reported on 3 March 2020) (NCOP: Referred to Select Committee on Security and Justice on 30 January 2020).,Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Mutual Legal Assistance in Criminal Matters (Ter tafel gelê op 14 November 2019) (NV: Verwys na Portefeuljekomitee oor Justisie en Korrektiewe Dienste op 18 November 2019 – op 3 Maart 2020 gerapporteer) (NRVP: Verwys na Gekose Komitee oor Veiligheid en Justisie op 30 Januarie 2020).,March
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Ter tafel gelê op 14 November 2019) (NV: Verwys na Portefeuljekomitee oor Minerale Hulpbronne en Energie op 18 November 2019).,March
QUESTIONS:,VRAE:,March
Cluster 1: Peace and Security.,Groep 1: Vrede en Veiligheid,March
FURTHER BUSINESS,VERDERE WERKSAAMHEDE,March
ORDERS OF THE DAY:,DAGORDES:,March
"Consideration of Request for Approval by Parliament of Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Extradition in terms of section 231(2) of Constitution, 1996 (Report of Portfolio Committee on Justice and Correctional Services, see Announcements, Tablings and Committee Reports, 3 March 2020, p 17).","Oorweging van Versoek vir Goedkeuring deur Parlement van Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Extradition ingevolge artikel 231(2) van Grondwet, 1996 (Verslag van Portefeuljekomitee oor Justisie en Korrektiewe Dienste, kyk Aankondigings, Tertafelleggings en Komiteeverslae, 3 Maart 2020, bl 17).",March
"Consideration of Request for Approval by Parliament of Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Mutual Legal Assistance in Criminal Matters in terms of section 231(2) of Constitution, 1996 (Report of Portfolio Committee on Justice and Correctional Services, see Announcements, Tablings and Committee Reports, 3 March 2020, p 16).","Oorweging van Versoek vir Goedkeuring deur Parlement van Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Mutual Legal Assistance in Criminal Matters ingevolge artikel 231(2) van Grondwet, 1996 (Verslag van Portefeuljekomitee oor Justisie en Korrektiewe Dienste, kyk Aankondigings, Tertafelleggings en Komiteeverslae, 3 Maart 2020, bl, p 16).",March
"Consideration of Report of Portfolio Committee on Basic Education on South African Human Rights Commission Report on Investigative Hearing into Lack of Safety and Security Measures in Schools for Children with Disabilities in South Africa (Announcements, Tablings and Committee Reports, 3 March 2020, p 12).","Oorweging van Verslag van Portefeuljekomitee oor Basiese Onderwys oor South African Human Rights Commission Report on Investigative Hearing into Lack of Safety and Security Measures in Schools for Children with Disabilities in South Africa (Aankondigings, Tertafelleggings en Komiteeverslae, 3 Maart 2020, bl 12).",March
"Consideration of Report of Portfolio Committee on Basic Education on South African Human Rights Commission Report on Investigative Hearing into Status of Mental Health Care in South Africa (Announcements, Tablings and Committee Reports, 3 March 2020, p 4).","Oorweging van Verslag van Portefeuljekomitee oor Basiese Onderwys oor South African Human Rights Commission Report on Investigative Hearing into Status of Mental Health Care in South Africa (Aankondigings, Tertafelleggings en Komiteeverslae, 3 Maart 2020, bl 4).",March
"Consideration of Defence Amendment Bill [B 18B – 2017] (National Assembly – sec 75) and of Report of Portfolio Committee on Defence and Military Veterans on amendments proposed by National Council of Provinces (Announcements, Tablings and Committee Reports, 28 February 2020, p 1).","Oorweging van Defence Amendment Bill [B 18 – 2017] (Nasionale Vergadering – art 75) en van Verslag van Portefeuljekomitee oor Verdediging en Militêre Veterane oor wysigings voorgestel deur Nasionale Raad van Provinsies (Aankondigings, Tertafelleggings en Komiteeverslae, 28 Februarie 2020, bl 1).",March
"Decision of Question on Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2019/20 Mid- Year Performance (Announcements, Tablings and Committee Reports, 9 December 2019, p 30).","Besluit oor Vraag oor Verslag van Gesamentlike Staande Komitee oor Finansiële Bestuur van Parlement oor Parliament of Republic of South Africa’s 2019/20 Mid-Year Performance (Aankondigings, Tertafelleggings en Komiteeverslae, 9 Desember 2019, bl 30)",March
